DishId,DishName,Category,PriceSmall,FoodCostSmall,LabourCostSmall,OverheadCostSmall,PriceMedium,FoodCostMedium,LabourCostMedium,OverheadCostMedium,PriceLarge,FoodCostLarge,LabourCostLarge,OverheadCostLarge
1,Sonofabitch stew,Caribbean,674,229.16,107.84,33.7,741.4,266.9,133.45,37.07,842.5,311.73,176.92,42.12
2,Calf's liver and bacon,Soul,346,100.34,48.44,17.3,380.6,114.18,60.9,19.03,432.5,142.72,77.85,21.62
3,Buffalo Wings,Chinese,873,226.98,157.14,43.65,960.3,259.28,192.06,48.02,1091.25,338.29,240.07,54.56
4,Sonofabitch stew,Soul,779,233.7,163.59,38.95,856.9,274.21,197.09,42.84,973.75,340.81,233.7,48.69
5,Philly Cheese Steak,Spanish,579,173.7,133.17,28.95,636.9,203.81,152.86,31.84,723.75,253.31,188.18,36.19
6,Chicken Tikka Masala,Lebanese,380,95.0,60.8,19.0,418.0,108.68,71.06,20.9,475.0,142.5,99.75,23.75
7,Goulash,Cajun,406,121.8,48.72,20.3,446.6,138.45,62.52,22.33,507.5,167.47,81.2,25.38
8,Steak Tartare,German,355,92.3,60.35,17.75,390.5,105.44,70.29,19.53,443.75,128.69,88.75,22.19
9,Wasabi Peas,Soul,359,118.47,78.98,17.95,394.9,138.21,90.83,19.75,448.75,170.53,121.16,22.44
10,Sausage gravy,Italian,825,206.25,148.5,41.25,907.5,235.95,181.5,45.38,1031.25,288.75,216.56,51.56
11,Bacon Cheeseburger,Japanese,315,91.35,72.45,15.75,346.5,107.42,86.62,17.32,393.75,133.88,110.25,19.69
12,Gyoza,Chinese,814,203.5,105.82,40.7,895.4,232.8,134.31,44.77,1017.5,305.25,162.8,50.88
13,Pickled Okra,Lebanese,491,157.12,103.11,24.55,540.1,178.23,124.22,27.01,613.75,227.09,147.3,30.69
14,Juba (food),Spanish,400,100.0,48.0,20.0,440.0,118.8,57.2,22.0,500.0,150.0,85.0,25.0
15,Shepherd's Pie,Japanese,246,78.72,46.74,12.3,270.6,89.3,54.12,13.53,307.5,113.78,67.65,15.38
16,Domesticated turkey,Korean,380,110.2,53.2,19.0,418.0,125.4,62.7,20.9,475.0,161.5,80.75,23.75
17,Frybread,Soul,681,183.87,95.34,34.05,749.1,217.24,112.36,37.46,851.25,272.4,153.22,42.56
18,Mozzarella Sticks,American,290,98.6,49.3,14.5,319.0,111.65,57.42,15.95,362.5,141.38,79.75,18.12
19,Samosa,Turkish,830,224.1,99.6,41.5,913.0,255.64,118.69,45.65,1037.5,332.0,166.0,51.88
20,Tuna Pizza,Japanese,638,210.54,102.08,31.9,701.8,238.61,119.31,35.09,797.5,295.07,167.47,39.88
21,Eggo,Greek,472,141.6,61.36,23.6,519.2,166.14,77.88,25.96,590.0,200.6,100.3,29.5
22,Key Lime Pie,Italian,240,67.2,52.8,12.0,264.0,76.56,60.72,13.2,300.0,93.0,75.0,15.0
23,Elote (Mexican-style Corn on the Cob),Indian,209,56.43,25.08,10.45,229.9,66.67,29.89,11.5,261.25,78.38,39.19,13.06
24,Spring Rolls,Mediterranean,474,137.46,61.62,23.7,521.4,161.63,78.21,26.07,592.5,195.53,106.65,29.62
25,Alphabet pasta,Caribbean,758,219.82,106.12,37.9,833.8,250.14,133.41,41.69,947.5,312.68,180.03,47.38
26,Spaghetti Bolognese,Greek,253,86.02,55.66,12.65,278.3,97.41,66.79,13.92,316.25,120.17,82.23,15.81
27,Milk Steak,French,630,214.2,88.2,31.5,693.0,249.48,103.95,34.65,787.5,307.12,149.62,39.38
28,Roasted Bone Marrow,Italian,561,190.74,84.15,28.05,617.1,222.16,98.74,30.86,701.25,259.46,140.25,35.06
29,Sichuan Hot Pot,Mexican,379,106.12,72.01,18.95,416.9,120.9,87.55,20.84,473.75,156.34,113.7,23.69
